id_chromosome,id_image,etiqueta,xmin,ymin,xmax,ymax
1,103064,A1,237,274,303,393
2,103064,A1,91,205,200,302
3,103064,A2,378,214,464,281
4,103064,A2,144,313,205,419
5,103064,A3,169,248,243,322
6,103064,A3,340,132,406,218
7,103064,B4,472,208,505,301
8,103064,B4,240,116,330,169
9,103064,B5,321,224,391,264
10,103064,B5,294,164,379,197
11,103064,C6,285,43,351,119
12,103064,C6,102,88,175,152
13,103064,C7,208,447,237,529
14,103064,C7,35,204,99,262
15,103064,C8,229,396,289,429
16,103064,C8,334,344,391,399
17,103064,C9,76,195,119,262
18,103064,C9,254,237,313,270
19,103064,C10,183,29,231,97
20,103064,C10,90,288,152,336
21,103064,C11,154,441,209,509
22,103064,C11,218,168,288,195
23,103064,C12,407,288,444,345
24,103064,C12,268,83,305,141
25,103064,D13,105,449,158,489
26,103064,D13,318,336,362,388
27,103064,D14,61,331,92,385
28,103064,D14,26,252,81,282
29,103064,D15,257,426,304,477
30,103064,D15,366,304,426,325
31,103064,E16,112,379,155,416
32,103064,E16,93,152,149,175
33,103064,E17,223,320,269,343
34,103064,E17,300,272,352,296
35,103064,E18,174,246,200,283
36,103064,E18,188,330,207,372
37,103064,F19,137,413,177,442
38,103064,F19,42,293,75,330
39,103064,F20,78,386,114,420
40,103064,F20,288,323,324,348
41,103064,G21,145,492,179,515
42,103064,G21,217,353,247,381
43,103064,G22,238,533,288,561
44,103064,G22,209,56,249,92
45,103064,X,220,204,297,229
46,103064,Y,123,321,152,352
47,103071,A1,11,243,95,370
48,103071,A1,439,296,567,375
49,103071,A2,362,510,526,569
50,103071,A2,121,361,166,533
51,103071,A3,283,469,412,528
52,103071,A3,463,208,582,286
53,103071,B4,141,565,220,684
54,103071,B4,316,136,418,220
55,103071,B5,222,397,347,441
56,103071,B5,278,155,366,238
57,103071,C6,305,549,429,601
58,103071,C6,357,309,417,374
59,103071,C7,123,236,191,327
60,103071,C7,268,33,373,89
61,103071,C8,134,147,198,247
62,103071,C8,321,219,384,296
63,103071,C9,429,309,495,381
64,103071,C9,353,119,421,165
65,103071,C10,264,521,358,575
66,103071,C10,181,460,207,555
67,103071,C11,386,62,495,98
68,103071,C11,298,187,349,276
69,103071,C12,299,626,367,698
70,103071,C12,233,377,285,440
71,103071,D13,161,562,227,629
72,103071,D13,492,211,572,257
73,103071,D14,331,443,407,476
74,103071,D14,299,466,369,519
75,103071,D15,406,543,462,609
76,103071,D15,256,253,305,325
77,103071,E16,72,608,139,663
78,103071,E16,301,290,368,320
79,103071,E17,266,557,318,616
80,103071,E17,246,155,283,211
81,103071,E18,90,356,146,399
82,103071,E18,468,389,530,422
83,103071,F19,194,255,217,311
84,103071,F19,221,111,279,145
85,103071,F20,218,556,268,600
86,103071,F20,63,346,91,400
87,103071,G21,72,411,115,442
88,103071,G21,284,324,319,364
89,103071,G22,213,245,245,286
90,103071,G22,222,261,260,302
91,103071,X,159,356,210,417
92,103071,X,562,337,635,435
93,103072,A1,295,450,433,493
94,103072,A1,374,219,464,346
95,103072,A2,546,242,615,364
96,103072,A2,535,181,568,330
97,103072,A3,214,383,286,459
98,103072,A3,168,356,217,439
99,103072,B4,493,389,564,445
100,103072,B4,488,213,541,307
101,103072,B5,210,410,259,507
102,103072,B5,278,34,318,133
103,103072,C6,423,131,473,216
104,103072,C6,308,133,392,207
105,103072,C7,93,372,167,438
106,103072,C7,440,69,488,134
107,103072,C8,355,394,423,447
108,103072,C8,171,310,239,362
109,103072,C9,21,363,55,449
110,103072,C9,235,83,280,139
111,103072,C10,323,392,381,458
112,103072,C10,375,162,413,243
113,103072,C11,287,508,340,577
114,103072,C11,149,495,216,556
115,103072,C12,313,315,351,376
116,103072,C12,309,30,343,112
117,103072,D13,398,334,438,392
