epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.369,1.13824,3.23214,0.00442,0.31014,0.40945,0.30139,0.23969,0.72313,1.73987,0.00325,0.000117918,0.000117918,0.000117918
2,273.3,0.87635,1.64266,0.00329,0.68613,0.67994,0.74253,0.60885,0.69098,0.98854,0.00306,0.000233567,0.000233567,0.000233567
3,390.265,0.85614,1.22021,0.0032,0.80189,0.76506,0.86295,0.7021,0.7186,0.72727,0.00319,0.000345851,0.000345851,0.000345851
4,507.163,0.84108,0.98281,0.00314,0.88372,0.84796,0.93716,0.77848,0.66103,0.51906,0.00292,0.000341853,0.000341853,0.000341853
5,624.17,0.811,0.82742,0.00306,0.9172,0.88845,0.9621,0.79627,0.66558,0.42282,0.00303,0.000336804,0.000336804,0.000336804
6,741.018,0.81065,0.75822,0.00302,0.9188,0.88924,0.96272,0.79676,0.67411,0.41918,0.00295,0.000331755,0.000331755,0.000331755
7,857.818,0.79709,0.7054,0.00294,0.93529,0.91521,0.97325,0.826,0.59548,0.34537,0.0027,0.000326706,0.000326706,0.000326706
8,974.539,0.79064,0.67548,0.00292,0.94124,0.9197,0.97615,0.82735,0.61087,0.33403,0.00274,0.000321657,0.000321657,0.000321657
9,1091.22,0.77813,0.64924,0.0029,0.94645,0.93522,0.98067,0.8226,0.64188,0.31509,0.00284,0.000316608,0.000316608,0.000316608
10,1207.28,0.76821,0.61991,0.00286,0.95368,0.93305,0.98229,0.8215,0.65541,0.31191,0.00288,0.000311559,0.000311559,0.000311559
11,1323.54,0.77022,0.60589,0.00283,0.95364,0.94609,0.98481,0.84202,0.57888,0.27713,0.00258,0.00030651,0.00030651,0.00030651
12,1440.11,0.75802,0.59247,0.00282,0.95812,0.94184,0.98406,0.84143,0.57246,0.28156,0.00258,0.000301461,0.000301461,0.000301461
13,1556.15,0.74921,0.5682,0.00277,0.96255,0.94872,0.98678,0.84903,0.56096,0.26096,0.0025,0.000296412,0.000296412,0.000296412
14,1672.38,0.74486,0.57048,0.00274,0.96015,0.95293,0.98705,0.85161,0.56163,0.26036,0.00249,0.000291363,0.000291363,0.000291363
15,1788.91,0.74117,0.54585,0.00276,0.96319,0.94845,0.98676,0.83664,0.60089,0.271,0.00266,0.000286314,0.000286314,0.000286314
16,1904.74,0.73069,0.54092,0.00273,0.96048,0.948,0.98619,0.84732,0.57124,0.26362,0.00254,0.000281265,0.000281265,0.000281265
17,2020.81,0.74147,0.53695,0.00275,0.96478,0.94789,0.98671,0.83991,0.6012,0.26669,0.00269,0.000276216,0.000276216,0.000276216
18,2136.78,0.73124,0.52397,0.00268,0.96729,0.95722,0.98855,0.8518,0.56188,0.24346,0.00249,0.000271167,0.000271167,0.000271167
19,2253.06,0.72344,0.51583,0.00268,0.9649,0.95099,0.98725,0.83265,0.61572,0.26316,0.00275,0.000266118,0.000266118,0.000266118
20,2369.15,0.72472,0.51092,0.00266,0.96518,0.95837,0.98866,0.84947,0.57218,0.24631,0.00254,0.000261069,0.000261069,0.000261069
21,2484.83,0.71514,0.50713,0.00265,0.97005,0.95687,0.98883,0.83844,0.5994,0.24682,0.00269,0.00025602,0.00025602,0.00025602
22,2600.96,0.71717,0.50426,0.00262,0.9685,0.95437,0.98794,0.84214,0.59602,0.25175,0.00264,0.000250971,0.000250971,0.000250971
23,2716.8,0.70536,0.49738,0.00261,0.97019,0.9543,0.98894,0.8504,0.56752,0.24553,0.00253,0.000245922,0.000245922,0.000245922
24,2832.53,0.7154,0.49537,0.00266,0.97279,0.95919,0.98922,0.84457,0.59017,0.23868,0.00261,0.000240873,0.000240873,0.000240873
25,2948.49,0.70537,0.48127,0.00258,0.97188,0.96169,0.98973,0.85619,0.55321,0.22816,0.00245,0.000235824,0.000235824,0.000235824
26,3064.69,0.70418,0.48551,0.00262,0.973,0.96516,0.99041,0.85966,0.54449,0.2236,0.0024,0.000230775,0.000230775,0.000230775
27,3181.08,0.70228,0.47757,0.00258,0.97281,0.9637,0.99038,0.85206,0.56607,0.22761,0.00251,0.000225726,0.000225726,0.000225726
28,3297.08,0.68809,0.46689,0.00249,0.97203,0.9632,0.99024,0.85568,0.55766,0.22915,0.00248,0.000220677,0.000220677,0.000220677
29,3412.92,0.69651,0.47096,0.00255,0.97533,0.96263,0.99028,0.85754,0.55316,0.22565,0.00242,0.000215628,0.000215628,0.000215628
30,3528.71,0.69601,0.46718,0.00255,0.97109,0.96446,0.9904,0.85343,0.56796,0.2309,0.00251,0.000210579,0.000210579,0.000210579
31,3644.38,0.68434,0.46134,0.00253,0.97353,0.96601,0.99074,0.84715,0.59299,0.22942,0.00262,0.00020553,0.00020553,0.00020553
32,3760.44,0.68072,0.45052,0.00248,0.97232,0.96683,0.99073,0.85598,0.55145,0.22039,0.00244,0.000200481,0.000200481,0.000200481
33,3876.18,0.68003,0.45318,0.0025,0.9739,0.96685,0.99059,0.84828,0.57913,0.22762,0.00255,0.000195432,0.000195432,0.000195432
34,3991.95,0.67921,0.45538,0.00249,0.97677,0.96853,0.99087,0.85522,0.56311,0.2173,0.00248,0.000190383,0.000190383,0.000190383
