epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.8353,0.98906,1.89158,0.00385,0.456,0.56213,0.48991,0.39665,0.71799,1.32586,0.0034,0.000118728,0.000118728,0.000118728
2,125.053,0.9791,1.8297,0.00382,0.49905,0.57765,0.535,0.42912,0.73427,1.25736,0.00348,0.000234366,0.000234366,0.000234366
3,183.707,0.9852,1.77739,0.0038,0.54335,0.60668,0.59143,0.47377,0.75626,1.17075,0.00362,0.000346638,0.000346638,0.000346638
4,245.372,0.98194,1.71025,0.00381,0.56511,0.61302,0.61481,0.4896,0.77852,1.14162,0.00364,0.000341853,0.000341853,0.000341853
5,305.792,0.97048,1.64316,0.00375,0.62027,0.64257,0.66682,0.53943,0.73755,1.05121,0.00344,0.000336804,0.000336804,0.000336804
6,364.19,0.97671,1.59753,0.00381,0.6583,0.65806,0.70486,0.5652,0.76377,0.99632,0.00359,0.000331755,0.000331755,0.000331755
7,425.76,0.96439,1.54449,0.00375,0.68822,0.66943,0.73135,0.59807,0.70673,0.94359,0.00329,0.000326706,0.000326706,0.000326706
8,486.533,0.96222,1.49722,0.00375,0.71508,0.67708,0.75377,0.60772,0.75,0.91323,0.00349,0.000321657,0.000321657,0.000321657
9,546.97,0.96226,1.45391,0.00368,0.72475,0.69266,0.77396,0.63114,0.71682,0.8816,0.0034,0.000316608,0.000316608,0.000316608
10,605.071,0.95322,1.40948,0.00368,0.74885,0.71611,0.79857,0.65635,0.69246,0.82689,0.00325,0.000311559,0.000311559,0.000311559
11,666.1,0.95192,1.38471,0.00367,0.76489,0.72598,0.81536,0.66714,0.71029,0.7979,0.00332,0.00030651,0.00030651,0.00030651
12,727.068,0.94838,1.34122,0.00367,0.78137,0.73303,0.82866,0.67841,0.71387,0.76916,0.00331,0.000301461,0.000301461,0.000301461
13,786.508,0.95273,1.31322,0.00366,0.78781,0.74491,0.83813,0.69153,0.68836,0.74589,0.00321,0.000296412,0.000296412,0.000296412
14,847.947,0.94268,1.29225,0.00362,0.79859,0.74593,0.84565,0.6995,0.67476,0.72556,0.00316,0.000291363,0.000291363,0.000291363
15,905.383,0.93528,1.26177,0.00362,0.80932,0.76274,0.85687,0.70488,0.69589,0.70955,0.00327,0.000286314,0.000286314,0.000286314
16,966.321,0.93893,1.24353,0.00362,0.818,0.76803,0.86517,0.70312,0.71866,0.69021,0.0034,0.000281265,0.000281265,0.000281265
17,1027.3,0.93543,1.2249,0.00362,0.82885,0.77726,0.87839,0.72449,0.6872,0.65827,0.00318,0.000276216,0.000276216,0.000276216
18,1088.59,0.92487,1.19364,0.00351,0.82703,0.78611,0.88085,0.72614,0.68722,0.64872,0.00322,0.000271167,0.000271167,0.000271167
19,1146.82,0.91858,1.17459,0.00355,0.83627,0.79582,0.88942,0.73586,0.67371,0.62403,0.00313,0.000266118,0.000266118,0.000266118
20,1208.36,0.92364,1.15631,0.00351,0.84145,0.79287,0.89027,0.73159,0.69417,0.62527,0.00324,0.000261069,0.000261069,0.000261069
21,1268.83,0.92561,1.14718,0.00352,0.83624,0.79636,0.89211,0.73543,0.6884,0.62611,0.00319,0.00025602,0.00025602,0.00025602
22,1326.85,0.91863,1.12466,0.00351,0.85552,0.80747,0.90292,0.74944,0.66723,0.58808,0.0031,0.000250971,0.000250971,0.000250971
23,1388.04,0.91864,1.11521,0.00351,0.85136,0.8064,0.90032,0.73965,0.69531,0.60248,0.00324,0.000245922,0.000245922,0.000245922
24,1445.91,0.91522,1.10361,0.00349,0.85686,0.81517,0.90797,0.75218,0.67466,0.57638,0.00313,0.000240873,0.000240873,0.000240873
25,1509.41,0.9036,1.08067,0.00346,0.85819,0.81662,0.90882,0.75116,0.68267,0.57599,0.00318,0.000235824,0.000235824,0.000235824
26,1570.38,0.90933,1.08379,0.00347,0.86064,0.82255,0.9134,0.75863,0.66045,0.56246,0.00306,0.000230775,0.000230775,0.000230775
27,1628.18,0.90691,1.06344,0.00348,0.86922,0.82536,0.91615,0.76612,0.64862,0.54825,0.003,0.000225726,0.000225726,0.000225726
28,1690.59,0.90334,1.05133,0.00345,0.87046,0.83104,0.92084,0.75788,0.69997,0.54554,0.00323,0.000220677,0.000220677,0.000220677
29,1752.09,0.90758,1.05153,0.00346,0.87403,0.82766,0.9209,0.76714,0.66029,0.53774,0.00303,0.000215628,0.000215628,0.000215628
30,1812.04,0.90615,1.04334,0.00343,0.88115,0.83006,0.92474,0.77189,0.65395,0.5289,0.003,0.000210579,0.000210579,0.000210579
31,1868.89,0.89384,1.02208,0.0034,0.88214,0.83387,0.92586,0.7724,0.65794,0.52146,0.00304,0.00020553,0.00020553,0.00020553
32,1929.93,0.89327,1.01032,0.00344,0.88373,0.83785,0.92859,0.77519,0.65912,0.51596,0.00303,0.000200481,0.000200481,0.000200481
33,1990.62,0.89239,1.00728,0.00341,0.88937,0.84097,0.93191,0.77689,0.66114,0.50651,0.00305,0.000195432,0.000195432,0.000195432
34,2048.55,0.88927,0.99785,0.00339,0.88943,0.84199,0.93322,0.78279,0.64282,0.49852,0.00295,0.000190383,0.000190383,0.000190383
35,2109.16,0.88673,0.9903,0.00339,0.89292,0.84623,0.93572,0.78487,0.64097,0.49106,0.00296,0.000185334,0.000185334,0.000185334
36,2169.89,0.88837,0.98988,0.00337,0.89032,0.84746,0.9361,0.77724,0.67415,0.49759,0.0031,0.000180285,0.000180285,0.000180285
37,2230.27,0.88493,0.9752,0.00338,0.89594,0.84732,0.93764,0.78148,0.65747,0.48864,0.00304,0.000175236,0.000175236,0.000175236
38,2288.7,0.8845,0.97315,0.00336,0.89823,0.84503,0.9375,0.78269,0.65409,0.48723,0.00301,0.000170187,0.000170187,0.000170187
39,2353.41,0.88015,0.97332,0.00332,0.89718,0.85339,0.94021,0.78744,0.64604,0.47568,0.00297,0.000165138,0.000165138,0.000165138
40,2419.12,0.88474,0.96756,0.00335,0.8946,0.85351,0.93969,0.78264,0.66326,0.48217,0.00306,0.000160089,0.000160089,0.000160089
