epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.94,1.06986,2.50858,1.1404,0.42852,0.57617,0.49321,0.3975,0.66688,1.43466,0.95238,0.000118728,0.000118728,0.000118728
2,418.938,0.83322,1.46491,1.01696,0.7408,0.72468,0.80859,0.66524,0.65938,0.94547,0.93418,0.000233021,0.000233021,0.000233021
3,620.905,0.79888,1.08865,1.00017,0.89251,0.84592,0.93393,0.76303,0.65761,0.64033,0.93536,0.000342602,0.000342602,0.000342602
4,820.996,0.77053,0.8982,0.98163,0.90883,0.87736,0.95465,0.79304,0.63127,0.57261,0.92351,0.000335794,0.000335794,0.000335794
5,1023.41,0.76366,0.80552,0.97814,0.94091,0.90805,0.97197,0.79304,0.6948,0.50354,0.93947,0.000328726,0.000328726,0.000328726
6,1229.12,0.7475,0.73629,0.9687,0.95496,0.9248,0.97935,0.81267,0.64457,0.45526,0.91889,0.000321657,0.000321657,0.000321657
7,1432.06,0.72987,0.69039,0.96266,0.95618,0.93558,0.98192,0.82548,0.59802,0.43119,0.90709,0.000314588,0.000314588,0.000314588
8,1633.47,0.73321,0.6655,0.96466,0.95845,0.93371,0.98249,0.82859,0.58807,0.41606,0.90442,0.00030752,0.00030752,0.00030752
9,1833.75,0.72136,0.63323,0.95798,0.96648,0.94805,0.98614,0.8304,0.60473,0.39151,0.90587,0.000300451,0.000300451,0.000300451
10,2033.9,0.71278,0.60769,0.9547,0.97278,0.95415,0.98847,0.8366,0.59009,0.37003,0.89858,0.000293383,0.000293383,0.000293383
11,2234.54,0.70095,0.5929,0.94933,0.96929,0.94763,0.98682,0.8249,0.63313,0.38461,0.91413,0.000286314,0.000286314,0.000286314
12,2433.25,0.70104,0.57783,0.95135,0.97249,0.95683,0.98843,0.84084,0.57545,0.3615,0.89508,0.000279245,0.000279245,0.000279245
13,2632.54,0.69112,0.55904,0.94457,0.97518,0.96192,0.99009,0.84074,0.58171,0.34911,0.89659,0.000272177,0.000272177,0.000272177
14,2833.52,0.68559,0.54583,0.94294,0.97235,0.95949,0.98962,0.83586,0.59411,0.351,0.90076,0.000265108,0.000265108,0.000265108
15,3034.74,0.69108,0.54403,0.9438,0.9768,0.96249,0.98995,0.83713,0.59288,0.34325,0.90158,0.00025804,0.00025804,0.00025804
16,3230.11,0.68012,0.53051,0.94297,0.97736,0.96683,0.99067,0.84291,0.57826,0.32996,0.89337,0.000250971,0.000250971,0.000250971
17,3432.01,0.67867,0.52223,0.94056,0.97682,0.96648,0.99051,0.83651,0.60195,0.33471,0.90193,0.000243902,0.000243902,0.000243902
18,3633.88,0.67308,0.51402,0.93938,0.97981,0.96698,0.99069,0.84796,0.56177,0.32042,0.89113,0.000236834,0.000236834,0.000236834
19,3836.26,0.67158,0.50407,0.93711,0.98047,0.97023,0.99137,0.84204,0.57261,0.31487,0.8928,0.000229765,0.000229765,0.000229765
20,4037.85,0.66817,0.49685,0.93618,0.98131,0.97078,0.99167,0.85146,0.55076,0.31159,0.88666,0.000222697,0.000222697,0.000222697
21,4241.26,0.66129,0.49358,0.93134,0.98157,0.97081,0.9912,0.85126,0.55277,0.31145,0.88641,0.000215628,0.000215628,0.000215628
22,4441.66,0.66391,0.49114,0.935,0.98197,0.97238,0.9916,0.84805,0.57239,0.30843,0.89174,0.000208559,0.000208559,0.000208559
23,4640.01,0.65472,0.47463,0.93149,0.98133,0.9731,0.9918,0.84852,0.57006,0.30423,0.88909,0.000201491,0.000201491,0.000201491
24,4840.51,0.65624,0.47686,0.93077,0.98382,0.97134,0.99162,0.85061,0.56185,0.30253,0.88918,0.000194422,0.000194422,0.000194422
25,5039.81,0.64423,0.47021,0.9274,0.98142,0.97394,0.99158,0.83989,0.57543,0.30308,0.90129,0.000187354,0.000187354,0.000187354
26,5239.94,0.6491,0.47013,0.9287,0.98183,0.975,0.9919,0.85015,0.56058,0.29645,0.88728,0.000180285,0.000180285,0.000180285
27,5439.4,0.64098,0.46315,0.92636,0.98236,0.97371,0.9918,0.85266,0.5505,0.2947,0.88443,0.000173216,0.000173216,0.000173216
28,5637.36,0.6409,0.45496,0.92537,0.98418,0.97546,0.9919,0.85167,0.55443,0.29094,0.88629,0.000166148,0.000166148,0.000166148
29,5838.62,0.63775,0.4543,0.92462,0.98342,0.9747,0.99195,0.8479,0.56913,0.29313,0.88847,0.000159079,0.000159079,0.000159079
30,6036.92,0.63539,0.44888,0.92262,0.98311,0.97543,0.99199,0.85193,0.55265,0.28851,0.8867,0.000152011,0.000152011,0.000152011
31,6236.61,0.6353,0.44889,0.9228,0.98304,0.97593,0.99178,0.85032,0.56627,0.28874,0.88905,0.000144942,0.000144942,0.000144942
32,6435.59,0.62597,0.44437,0.92064,0.98376,0.97657,0.99217,0.85654,0.54026,0.28163,0.88352,0.000137873,0.000137873,0.000137873
33,6634.98,0.62642,0.43974,0.91954,0.98488,0.97622,0.9922,0.84331,0.57217,0.28611,0.89623,0.000130805,0.000130805,0.000130805
34,6832.36,0.6219,0.43757,0.91971,0.98478,0.97766,0.99213,0.85188,0.54995,0.27948,0.8851,0.000123736,0.000123736,0.000123736
35,7035.47,0.62184,0.43274,0.91757,0.98433,0.9769,0.99238,0.85274,0.55882,0.28174,0.88775,0.000116668,0.000116668,0.000116668
36,7233,0.62492,0.42975,0.92019,0.98551,0.97732,0.99262,0.85421,0.55158,0.27749,0.88567,0.000109599,0.000109599,0.000109599
37,7431.86,0.61426,0.42668,0.91443,0.98604,0.97846,0.99256,0.84985,0.56698,0.27854,0.88987,0.00010253,0.00010253,0.00010253
38,7630.71,0.61251,0.42449,0.91602,0.98552,0.97775,0.99227,0.85399,0.55598,0.27591,0.88483,9.54618e-05,9.54618e-05,9.54618e-05
39,7830.74,0.60813,0.42219,0.91415,0.98552,0.98035,0.99252,0.85096,0.56215,0.27437,0.88787,8.83932e-05,8.83932e-05,8.83932e-05
40,8031.99,0.60868,0.41777,0.91323,0.98564,0.97895,0.99218,0.85195,0.55675,0.27436,0.88624,8.13246e-05,8.13246e-05,8.13246e-05
41,8218.95,0.5582,0.32233,0.89706,0.98439,0.98036,0.99234,0.85685,0.54246,0.26975,0.88094,7.4256e-05,7.4256e-05,7.4256e-05
42,8406.99,0.55343,0.31493,0.89263,0.98454,0.98062,0.99226,0.85251,0.55134,0.27036,0.88466,6.71874e-05,6.71874e-05,6.71874e-05
43,8587.95,0.54499,0.31021,0.89148,0.98569,0.97879,0.99239,0.85489,0.55181,0.27014,0.88461,6.01188e-05,6.01188e-05,6.01188e-05
44,8775.96,0.54432,0.30956,0.88978,0.98543,0.97929,0.99231,0.85458,0.5525,0.26866,0.88509,5.30502e-05,5.30502e-05,5.30502e-05
45,8962.55,0.53996,0.30338,0.88696,0.98461,0.98072,0.99233,0.8587,0.53794,0.26381,0.87985,4.59816e-05,4.59816e-05,4.59816e-05
46,9152.97,0.53512,0.30219,0.88551,0.98648,0.97961,0.99247,0.85144,0.55969,0.26732,0.88758,3.8913e-05,3.8913e-05,3.8913e-05
47,9339.36,0.536,0.30285,0.88864,0.98529,0.9808,0.9926,0.85406,0.54754,0.26436,0.8852,3.18444e-05,3.18444e-05,3.18444e-05
48,9526.74,0.52891,0.29832,0.8838,0.98431,0.98209,0.99268,0.85555,0.55092,0.26339,0.88362,2.47758e-05,2.47758e-05,2.47758e-05
49,9712.55,0.5257,0.29444,0.88308,0.98703,0.98006,0.99278,0.85753,0.54296,0.26094,0.88273,1.77072e-05,1.77072e-05,1.77072e-05
50,9897.34,0.52483,0.29511,0.88354,0.9864,0.98136,0.9927,0.85652,0.54631,0.26149,0.88432,1.06386e-05,1.06386e-05,1.06386e-05
